x,y,orientation
-16.26,34.92363636,2.48370405
-17.18772727,34.81636364,2.52081491
-17.18772727,34.51636364,2.52081491
-16.48409091,34.76818182,2.50267867
-16.26,35.32,2.49809154
-17.21181818,34.49227273,2.51446861
-16.93590909,34.94409091,2.50444932
-16.26,34.74772727,2.48727141
-17.01181818,34.84409091,2.50714107
-17.03590909,35.67181818,2.49358707
-16.93590909,34.94409091,2.50444932
-17.01181818,34.56818182,2.51079504
-16.66,35.29590909,2.49446509
-17.18772727,34.56818182,2.51346104
-16.46,34.48863636,2.52403568
-17.06727273,35.02,2.51928978
-16.40818182,34.54772727,2.48174423
-16.43227273,34.54772727,2.47895077
-17.18772727,35.09227273,2.51712823
-16.96,35.29590909,2.49446509
