x y angle
16.96363636 35.04045455 0.6144448
17.53954545 34.81272727 0.60064416
18.095      34.30909091 0.57052623
17.06363636 34.58863636 0.60698766
17.33954545 34.26090909 0.59308515
17.71909091 33.80909091 0.57296614
17.69136364 34.51272727 0.59553069
17.69136364 34.285 0.58420995
17.39136364 34.61272727 0.59553069
17.06363636 34.31272727 0.60322985
17.71545455 34.23681818 0.59431565
17.79136364 34.20909091 0.58039819
17.23954545 33.71272727 0.60064416
17.76727273 33.76090909 0.58549005
18.24681818 34.30909091 0.56570147
18.27090909 33.90909091 0.56810473
17.59136364 34.16090909 0.5880026
17.11181818 33.78863636 0.61223255
18.11909091 33.90909091 0.57296614
17.94318182 33.76090909 0.58299639
